service_display_name,name,quantity,region,service_id,sku,"total_price, EUR",notes
Cloud Run,Services CPU Tier 2  (Request-based billing),3750000000000,global,152E-C115-5142,085C-A237-027A,111402.9,
Cloud Run,Services Memory Tier 2 (Request-based billing),1875000000000,global,152E-C115-5142,600C-3782-6708,5802.23438,
Cloud Run,Requests,1000000000000,global,152E-C115-5142,2DA5-55D3-E679,353659.29268,
Firestore,Cloud Firestore Read Ops Warsaw,3041666.666666667,europe-central2,F17B-412E-CB64,CDF2-1F1F-1103,0.52441,
Firestore,Cloud Firestore Entity Writes Warsaw,1520833.3333333335,europe-central2,F17B-412E-CB64,81B9-B9E4-09FE,0.94394,
Firestore,Cloud Firestore Entity Deletes Warsaw,0.0,europe-central2,F17B-412E-CB64,981B-B66A-A216,0,
Firestore,Cloud Firestore Storage Warsaw,50.0,europe-central2,F17B-412E-CB64,8083-93BB-F13A,8.44805,
Cloud Storage,Standard Storage Warsaw,100.0,europe-central2,95FF-2EF5-5EA1,109D-AA78-91BA,2.03354,
,,,,,,,
,,,,,Total Price:,470876.37701,
,,,,,,,
"Prices are in EUR, effective date is 2025-06-25T21:32:40.857Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJqWTJVME1qVmhNeTFsTkdOa0xUUTRNbUV0T0RKaU15MDNaamd5T0dFMllXVmhaVGNRQVE9PRokNjREMkFEQjItRUVCMS00QUI4LTlEMjMtMTc2MTIzNkM0OEUx,,,,,,
